local_term,english_term,language,status
bag-o lang nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
bag-o lang nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
bag-o lang nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
bag-o lang nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ku pagkatapos natumba man,head bleeding after fall,hiligaynon,active
bag-o lang nagdugo ulo ku pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
bag-o lang nakuryente ko sang kuryente gid,electrical injury,hiligaynon,active
bag-o lang nakuryente ko sang kuryente gid ko,electrical injury,hiligaynon,active
bag-o lang nakuryente ko sang kuryente ko gid,electrical injury,hiligaynon,active
bag-o lang nakuryente ko sang kuryente man,electrical injury,hiligaynon,active
bag-o lang nakuryente ko sang kuryente na gid,electrical injury,hiligaynon,active
bag-o lang nakuryente ku sang kuryente gid,electrical injury,hiligaynon,active
bag-o lang nakuryente ku sang kuryente gid ko,electrical injury,hiligaynon,active
bag-o lang nakuryente ku sang kuryente ko gid,electrical injury,hiligaynon,active
bag-o lang nakuryente ku sang kuryente man,electrical injury,hiligaynon,active
bag-o lang nakuryente ku sang kuryente na gid,electrical injury,hiligaynon,active
bag-o lang nautod na tudlo ko sang makina gid,amputated finger,hiligaynon,active
bag-o lang nautod na tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
bag-o lang nautod na tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
bag-o lang nautod na tudlo ko sang makina man,amputated finger,hiligaynon,active
bag-o lang nautod na tudlo ko sang makina na gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ko sang makina gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ko sang makina gid ko,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ko sang makina ko gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ko sang makina man,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ko sang makina na gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ku sang makina gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ku sang makina gid ko,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ku sang makina ko gid,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ku sang makina man,amputated finger,hiligaynon,active
bag-o lang nautod tudlo ku sang makina na gid,amputated finger,hiligaynon,active
bag-o lang ubo ko kag ginahilanat gid,fever with cough,hiligaynon,active
bag-o lang ubo ko kag ginahilanat gid ko,fever with cough,hiligaynon,active
bag-o lang ubo ko kag ginahilanat ko gid,fever with cough,hiligaynon,active
bag-o lang ubo ko kag ginahilanat man,fever with cough,hiligaynon,active
bag-o lang ubo ko kag ginahilanat na gid,fever with cough,hiligaynon,active
bagoong allergy,shellfish allergy,hiligaynon,active
balat,skin,hiligaynon,active
balatian,skin disease,hiligaynon,active
balatian sa panit,skin disease,hiligaynon,active
bali,fracture,hiligaynon,active
banana allergy,banana allergy,hiligaynon,active
banat,muscle strain,hiligaynon,active
bandaid allergy,contact dermatitis,hiligaynon,active
barog ilong ko,nasal congestion,hiligaynon,active
basin budlay gid gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
basin budlay gid gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
basin budlay gid gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
basin budlay gid gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
basin budlay gid gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
basin budlay gid ko mag ginhawa subong gid,difficulty breathing,hiligaynon,active
basin budlay gid ko mag ginhawa subong gid ko,difficulty breathing,hiligaynon,active
basin budlay gid ko mag ginhawa subong ko gid,difficulty breathing,hiligaynon,active
basin budlay gid ko mag ginhawa subong man,difficulty breathing,hiligaynon,active
basin budlay gid ko mag ginhawa subong na gid,difficulty breathing,hiligaynon,active
basin budlay gid ko magginhawa subong gid,difficulty breathing,hiligaynon,active
basin budlay gid ko magginhawa subong gid ko,difficulty breathing,hiligaynon,active
basin budlay gid ko magginhawa subong ko gid,difficulty breathing,hiligaynon,active
basin budlay gid ko magginhawa subong man,difficulty breathing,hiligaynon,active
basin budlay gid ko magginhawa subong na gid,difficulty breathing,hiligaynon,active
basin budlay gid ku magginhawa subong gid,difficulty breathing,hiligaynon,active
basin budlay gid ku magginhawa subong gid ko,difficulty breathing,hiligaynon,active
basin budlay gid ku magginhawa subong ko gid,difficulty breathing,hiligaynon,active
basin budlay gid ku magginhawa subong man,difficulty breathing,hiligaynon,active
basin budlay gid ku magginhawa subong na gid,difficulty breathing,hiligaynon,active
basin budlay magginhawa ko,difficulty breathing,hiligaynon,active
basin gadugo bilat ko,vaginal bleeding,hiligaynon,active
basin gahabok dila ko gid gid,swollen tongue,hiligaynon,active
basin gahabok dila ko gid gid ko,swollen tongue,hiligaynon,active
basin gahabok dila ko gid ko gid,swollen tongue,hiligaynon,active
basin gahabok dila ko gid man,swollen tongue,hiligaynon,active
basin gahabok dila ko gid na gid,swollen tongue,hiligaynon,active
basin gahabok dila ku gid gid,swollen tongue,hiligaynon,active
basin gahabok dila ku gid gid ko,swollen tongue,hiligaynon,active
basin gahabok dila ku gid ko gid,swollen tongue,hiligaynon,active
basin gahabok dila ku gid man,swollen tongue,hiligaynon,active
basin gahabok dila ku gid na gid,swollen tongue,hiligaynon,active
basin gahubag dila ko gid gid,swollen tongue,hiligaynon,active
basin gahubag dila ko gid gid ko,swollen tongue,hiligaynon,active
basin gahubag dila ko gid ko gid,swollen tongue,hiligaynon,active
basin gahubag dila ko gid man,swollen tongue,hiligaynon,active
basin gahubag dila ko gid na gid,swollen tongue,hiligaynon,active
basin gahubag itlog ko,testicular swelling,hiligaynon,active
basin galuya lawas ko kag kapoy gid gid,body weakness with severe fatigue,hiligaynon,active
basin galuya lawas ko kag kapoy gid gid ko,body weakness with severe fatigue,hiligaynon,active
basin galuya lawas ko kag kapoy gid ko gid,body weakness with severe fatigue,hiligaynon,active
basin galuya lawas ko kag kapoy gid man,body weakness with severe fatigue,hiligaynon,active
basin galuya lawas ko kag kapoy gid na gid,body weakness with severe fatigue,hiligaynon,active
basin gapula mata ko kag gakatol gid,red itchy eyes,hiligaynon,active
basin gapula mata ko kag gakatol gid ko,red itchy eyes,hiligaynon,active
basin gapula mata ko kag gakatol ko gid,red itchy eyes,hiligaynon,active
basin gapula mata ko kag gakatol man,red itchy eyes,hiligaynon,active
basin gapula mata ko kag gakatol na gid,red itchy eyes,hiligaynon,active
basin gasakit dughan ko,chest pain,hiligaynon,active
basin gasakit ulo ko karon gid,head pain,hiligaynon,active
basin gasakit ulo ko karon gid ko,head pain,hiligaynon,active
basin gasakit ulo ko karon ko gid,head pain,hiligaynon,active
basin gasakit ulo ko karon man,head pain,hiligaynon,active
basin gasakit ulo ko karon na gid,head pain,hiligaynon,active
basin gin kagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
basin gin kagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
basin gin kagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
basin gin kagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
basin gin kagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko,dog bite,hiligaynon,active
basin ginkagat sang ido ko kag nag dugo gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nag dugo gid ko,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nag dugo ko gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nag dugo man,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nag dugo na gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nagdugo gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nagdugo man,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ko kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ku kag nagdugo gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ku kag nagdugo gid ko,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ku kag nagdugo ko gid,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ku kag nagdugo man,dog bite with bleeding,hiligaynon,active
basin ginkagat sang ido ku kag nagdugo na gid,dog bite with bleeding,hiligaynon,active
basin ginsumbag ko kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
basin ginsumbag ko kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
basin ginsumbag ko kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
basin ginsumbag ko kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
basin ginsumbag ko kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
basin ginsumbag ku kag nabun-og ulo gid,physical assault with head bruise,hiligaynon,active
basin ginsumbag ku kag nabun-og ulo gid ko,physical assault with head bruise,hiligaynon,active
basin ginsumbag ku kag nabun-og ulo ko gid,physical assault with head bruise,hiligaynon,active
basin ginsumbag ku kag nabun-og ulo man,physical assault with head bruise,hiligaynon,active
basin ginsumbag ku kag nabun-og ulo na gid,physical assault with head bruise,hiligaynon,active
basin kakatol bilat ko,vaginal itching,hiligaynon,active
basin masakit ari ko,penile pain,hiligaynon,active
basin may nana akon mata,eye infection,hiligaynon,active
basin may nana akon mata subong gid,eye infection,hiligaynon,active
basin may nana akon mata subong gid ko,eye infection,hiligaynon,active
basin may nana akon mata subong ko gid,eye infection,hiligaynon,active
basin may nana akon mata subong man,eye infection,hiligaynon,active
basin may nana akon mata subong na gid,eye infection,hiligaynon,active
basin may nana sa bilat ko,vaginal infection,hiligaynon,active
basin may pilas ko sa kamot kag nag dugo gid,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nag dugo gid ko,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nag dugo ko gid,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nag dugo man,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nag dugo na gid,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
basin may pilas ko sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
basin may pilas ku sa kamot kag nagdugo gid,bleeding hand wound,hiligaynon,active
basin may pilas ku sa kamot kag nagdugo gid ko,bleeding hand wound,hiligaynon,active
basin may pilas ku sa kamot kag nagdugo ko gid,bleeding hand wound,hiligaynon,active
basin may pilas ku sa kamot kag nagdugo man,bleeding hand wound,hiligaynon,active
basin may pilas ku sa kamot kag nagdugo na gid,bleeding hand wound,hiligaynon,active
basin nabali kamot ko,hand fracture,hiligaynon,active
basin nabali kamot ko sang natumba gid,hand fracture,hiligaynon,active
basin nabali kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
basin nabali kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
basin nabali kamot ko sang natumba man,hand fracture,hiligaynon,active
basin nabali kamot ko sang natumba na gid,hand fracture,hiligaynon,active
basin nabali kamot ku sang natumba gid,hand fracture,hiligaynon,active
basin nabali kamot ku sang natumba gid ko,hand fracture,hiligaynon,active
basin nabali kamot ku sang natumba ko gid,hand fracture,hiligaynon,active
basin nabali kamot ku sang natumba man,hand fracture,hiligaynon,active
basin nabali kamot ku sang natumba na gid,hand fracture,hiligaynon,active
basin nabali na kamot ko sang natumba gid,hand fracture,hiligaynon,active
basin nabali na kamot ko sang natumba gid ko,hand fracture,hiligaynon,active
basin nabali na kamot ko sang natumba ko gid,hand fracture,hiligaynon,active
basin nabali na kamot ko sang natumba man,hand fracture,hiligaynon,active
basin nabali na kamot ko sang natumba na gid,hand fracture,hiligaynon,active
basin nabunggo ko sa salakyan kag nag dugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nag dugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nag dugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nag dugo ulo man,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nag dugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ko sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ku sa salakyan kag nagdugo ulo gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ku sa salakyan kag nagdugo ulo gid ko,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ku sa salakyan kag nagdugo ulo ko gid,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ku sa salakyan kag nagdugo ulo man,vehicle collision with head bleeding,hiligaynon,active
basin nabunggo ku sa salakyan kag nagdugo ulo na gid,vehicle collision with head bleeding,hiligaynon,active
basin nag dugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
basin nag dugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
basin nag dugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
basin nag dugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
basin nag dugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ko,head bleeding,hiligaynon,active
basin nagdugo ulo ko pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ko pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ko pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ko pagkatapos natumba man,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ko pagkatapos natumba na gid,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ku pagkatapos natumba gid,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ku pagkatapos natumba gid ko,head bleeding after fall,hiligaynon,active
basin nagdugo ulo ku pagkatapos natumba ko gid,head bleeding after fall,hiligaynon,active
